InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,Cloud-services-category,Uses EC2,Uses EBS,instanceType,instanceCount,instanceFamily,memoryPerInstance-GiB,vCpuPerInstance,gPuPerInstance,gPuType,gPuMemory-GiB,cPuType,cPuClockSpeed,totalVcpus,totalMemory-GiB,ebsStorage-GiB,s3Storage-GiB,backupStorage-GiB,efsStorage-GiB,fsxStorage-GiB
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-EUC1-AWS-Out-Bytes,,24273168336.0,$0.086 per GB - Asia Pacific (Mumbai) data transfer to EU (Germany),01-08-2023 00:00,31-08-2023 23:59,1.314e-05,,USD,1e-06,0.0,0.0,,1e-06,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-DEN1-AWS-Out-Bytes,,24273168307.0,$0.086 per GB - Asia Pacific (Mumbai) data transfer to US West (Denver),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,USE1-APS3-AWS-In-Bytes,,24273164203.0,$0.00 per GB - US East (Northern Virginia) data transfer from Asia Pacific (Mumbai),01-08-2023 00:00,31-08-2023 23:59,0.00012473,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonRDS,Amazon Relational Database Service,Amazon Internet Services Pvt Ltd,APS3-Multi-AZUsage:db.t4g.medium,CreateDBInstance:0014,26635562981.0,$ 0.167 per RDS db.t4g.medium Multi-AZ instance hour (or partial hour) running PostgreSQL,01-08-2023 00:00,17-08-2023 06:15,4709.427112,,USD,692.097409,0.0,124.576786,GST,816.674195,Paas-with-IaaS,Yes,No,db.t4g.medium,7.0,Storage Optimized,4.0,2.0,,,,,,14.0,28.0,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-LAX1-AWS-In-Bytes,,24273168206.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from US West (Los Angeles),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonDynamoDB,Amazon DynamoDB,Amazon Internet Services Pvt Ltd,APS3-TimedStorage-ByteHrs,,24236590407.0,$0.285 per GB-Month of storage used beyond first 25 free GB-Months,01-08-2023 00:00,31-08-2023 23:59,8630.668203,,USD,2164.571585,0.0,389.623371,GST,2554.194956,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-MNL1-AWS-In-Bytes,,24273168326.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from Philippines (Manila),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonCloudWatch,AmazonCloudWatch,Amazon Internet Services Pvt Ltd,APS3-CW:AlarmMonitorUsage,,21544470247.0,$0.10 per alarm metric month (standard resolution) - Asia Pacific (Mumbai),01-08-2023 00:00,31-08-2023 23:59,495.0850128,,USD,43.567481,0.0,7.842008,GST,51.409489,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-APE1-AWS-In-Bytes,,24273168646.0,USD0.0 per GB for  in Asia Pacific (Hong Kong),01-08-2023 00:00,31-08-2023 23:59,0.00124753,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-APN2-AWS-In-Bytes,,24273168469.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from Asia Pacific (Seoul),01-08-2023 00:00,31-08-2023 23:59,0.01023564,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Internet Services Pvt Ltd,APS3-BoxUsage:r6a.large,RunInstances,26620013020.0,$0.0715 per On Demand Linux r6a.large Instance Hour,01-08-2023 00:00,31-08-2023 23:59,2232.0,,USD,140.43744,0.0,25.278431,GST,165.715871,IaaS,Yes,No,r6a.large,3.0,Memory Optimized,16.0,2.0,0.0,,0.0,AMD EPYC 7R13 Processor,3.6 GHz,6.0,48.0,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSCloudTrail,AWS CloudTrail,Amazon Internet Services Pvt Ltd,EUW3-FreeEventsRecorded,,24236339422.0,0.0 per free event recorded in EU (Paris) region,01-08-2023 00:00,31-08-2023 23:59,2860.0,,USD,0.0,0.0,0.0,,0.0,Pure-PaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonS3,Amazon Simple Storage Service,Amazon Internet Services Pvt Ltd,APS3-Requests-Tier2,,24272223266.0,"$0.004 per 10,000 GET and all other requests",01-08-2023 00:00,31-08-2023 23:59,67344798.0,,USD,23.705369,0.0,4.266659,GST,27.972028,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AmazonEC2,Amazon Elastic Compute Cloud,Amazon Internet Services Pvt Ltd,APS3-EBSOptimized:t3a.medium,Hourly,26619899383.0,$0.00 for 347 Mbps per t3a.medium instance-hour (or partial hour),01-08-2023 00:00,31-08-2023 23:59,744.0,,USD,0.0,0.0,0.0,,0.0,IaaS,Yes,No,t3a.medium,1.0,General Purpose,4.0,2.0,0.0,,0.0,AMD EPYC 7571,2.5 GHz,2.0,4.0,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-BOS1-AWS-In-Bytes,,24273168226.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from US East (Boston),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-HAM1-AWS-In-Bytes,,24273168766.0,$0.00 per GB - Asia Pacific (Mumbai) data transfer from Germany (Hamburg),01-08-2023 00:00,31-08-2023 23:59,1.5e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,APS3-APN3-AWS-Out-Bytes,,24273168513.0,$0.086 per GB - Asia Pacific (Mumbai) data transfer to Asia Pacific (Osaka),01-08-2023 00:00,31-08-2023 23:59,4.7e-07,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
1422489597.0,557356000000.0,120420000000.0,LinkedLineItem,6.8E+18,01-08-2023 00:00,31-08-2023 23:59,02-09-2023 08:03,abcd,abcd-sa-prod,,,AWSDataTransfer,AWS Data Transfer,Amazon Internet Services Pvt Ltd,DataTransfer-In-Bytes,,24273163917.0,$0.000 per GB - data transfer in per month,01-08-2023 00:00,31-08-2023 23:59,0.00024792,,USD,0.0,0.0,0.0,,0.0,IaaS,No,No,,,,,,,,,,,,,,,,,
